Agency	Description	Uploaded on	Link	Value
DEPARTMENT OF EDUCATION	TASK ORDER AWARD FOR STAKEH...	2/11/2025		$1,197,598
DEPARTMENT OF EDUCATION	TASK ORDER FOR CAREER PATHW...	2/11/2025		$498,984
DEPARTMENT OF EDUCATION	SEE FPDS	2/11/2025		SEE FPDS
DEPARTMENT OF EDUCATION	IGF::OT::IGF THE PURPOSE OF...	2/11/2025		SEE FPDS
DEPARTMENT OF EDUCATION	DIVERSITY, EQUITY, AND INCL...	1/23/2025		$180,550
DEPARTMENT OF EDUCATION	DIVERSITY TRAINING SERVICES.	1/23/2025		$174,327
DEPARTMENT OF EDUCATION	DIVERSITY CHANGE AGENT PROG...	1/29/2025		$2,215,200
DEPARTMENT OF EDUCATION	THE PRIMARY PURPOSE OF THIS...	2/11/2025		$5,904,990
DEPARTMENT OF ENERGY	***** THE PURPOSE OF THIS...	2/6/2025		$234,210
DEPARTMENT OF ENERGY	ONE-YEAR SUBSCRIPTION TO EN...	2/7/2025		$17,625
DEPARTMENT OF ENERGY	ONLINE E&E PUBLISHING SUBSC...	2/7/2025		$109,200
DEPARTMENT OF ENERGY	12-MONTH ENERGYWIRE E&E SUB...	2/10/2025		$40,000
DEPARTMENT OF ENERGY	2024-2025 POLITICO PRO PLUS...	2/10/2025		$12,375
DEPARTMENT OF ENERGY	BUSINESS ADMINISTRATION SUP...	1/21/2025		$304,243
DEPARTMENT OF ENERGY	ENVIRONMENTAL JUSTICE AND E...	1/29/2025		$443,851
DEPARTMENT OF ENERGY	POLITICO PRO SUBSCRIPTION	2/5/2025		$530,681
DEPARTMENT OF ENERGY	SUBSCRIPTION TO E&E NEWS EN...	2/11/2025		$22,026
DEPARTMENT OF ENERGY	SUBSCRIPTION TO E&E NEWS EN...	2/11/2025		$18,355
DEPARTMENT OF HEALTH AND HUMAN SERVICES	RFC FOR DIVERSITY, EQUITY A...	1/23/2025		$1,300,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DIVERSITY, EQUITY, AND INCL...	1/23/2025		$8,160,514
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DIVERSITY, EQUITY AND ACCES...	1/22/2025		$1,004,599
DEPARTMENT OF HEALTH AND HUMAN SERVICES	STRATEGIC PLANNING SUPPORT ...	1/23/2025		$4,779,970
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADVANCING HEALTH EQUITY THR...	1/28/2025		$1,880,670
DEPARTMENT OF HEALTH AND HUMAN SERVICES	THE PURPOSE OF THIS CONTRAC...	1/28/2025		$6,322,430
DEPARTMENT OF HEALTH AND HUMAN SERVICES	THE CONTRACTOR SHALL PROVID...	1/27/2025		$1,267,113
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DEVELOPMENT OF THE NCCIH DE...	1/27/2025		$20,138
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ASSIST THE ADMINISTRATION F...	1/27/2025		$866,897
DEPARTMENT OF HEALTH AND HUMAN SERVICES	THE PURPOSE OF THIS CONTRAC...	1/29/2025		$3,526,433
DEPARTMENT OF HEALTH AND HUMAN SERVICES	BASE AWARD- ORGANIZATIONAL ...	1/29/2025		$4,204,519
DEPARTMENT OF HEALTH AND HUMAN SERVICES	(OCE) DEIA WORKSHOPS TRAINING	1/29/2025		$44,942
DEPARTMENT OF HEALTH AND HUMAN SERVICES	THIS IS A TIME AND MATERIAL...	1/30/2025		$20,397,053
DEPARTMENT OF HEALTH AND HUMAN SERVICES	THE PURPOSE OF THIS PROJECT...	2/3/2025		$1,064,155
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO PLUS SUBSCRIPTION	2/6/2025		$275,625
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO SUBSCRIPTION	2/6/2025		$1,072,665
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FDA POLITICO FOR OC	2/6/2025		$108,975
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO SUBSCRIPTION	2/6/2025		$175,837
DEPARTMENT OF HEALTH AND HUMAN SERVICES	AGENCYIQ SUBSCRIPTION	2/6/2025		$125,300
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ONLINE POLITICAL NEWS AND S...	2/6/2025		$108,774
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO SUBSCRIPTION F...	2/6/2025		$616,159
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO SUBSCRIPTION	2/6/2025		$234,388
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OCIO BUSINESS SUCCESSION PL...	2/7/2025		$1,544,676
DEPARTMENT OF HEALTH AND HUMAN SERVICES	IDIQ - MICROBIOLOGY OF FDA ...	2/7/2025		$125,975
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CDRH OM DWM HIRING MANAGER	2/7/2025		$699,984
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OEA EXECUTIVE COACHING	2/7/2025		$605,823
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MEDIA TRAINING SERVICES FDA...	2/7/2025		$252,745
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NEW TASK ORDER UNDER FDA-WI...	2/7/2025		$1,006,876
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SERVICES TO PROVIDE EXECUTI...	2/7/2025		$1,193,073
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DOCXONOMY SOFTWARE WITH MAI...	2/7/2025		$734,465
DEPARTMENT OF HEALTH AND HUMAN SERVICES	1-YEAR, FIRM-FIXED-PRICE (F...	2/7/2025		$179,805
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OL55-C-5315. PURCHASE HRSA...	2/7/2025		$706,825
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CALL ORDER 5	2/7/2025		$1,118,084
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OC137 C 6002 SATELLITE AND ...	2/7/2025		$8,887
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ANNUAL SUBSCRIPTION	2/7/2025		$514,995
DEPARTMENT OF HEALTH AND HUMAN SERVICES	APPLICA SOLUTIONS INC: SPAC...	2/7/2025		$449,999
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PANAMERICA COMPUTERS INC:11...	2/7/2025		$55,384
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FAUCI EXHIBIT THIS PRICE IN...	2/7/2025		$168,707
DEPARTMENT OF HEALTH AND HUMAN SERVICES	BRIGHT CLUSTER MANAGEMENT S...	2/7/2025		$31,151
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MISCELLANEOUS BULK GASES IN...	2/7/2025		$50,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	BANNER STAFFING LLC:1159549...	2/7/2025		$84,297
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MID-ATLANTIC SERVICES GROUP...	2/7/2025		$355,931
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EEO TREND AND BARRIER ANALYSIS	2/7/2025		$163,205
DEPARTMENT OF HEALTH AND HUMAN SERVICES	STERLING COMPUTERS:1110316 ...	2/7/2025		$692,987
DEPARTMENT OF HEALTH AND HUMAN SERVICES	TO PROVIDE CONSULTATION SER...	2/7/2025		$1,783,747
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HUMAN CAPITAL ENTERPRISE DI...	2/7/2025		$48,500
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HEALTH OUTREACH AND RESEARC...	2/7/2025		$4,494,558
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PROCUREMENT OF SERVICES TO ...	2/7/2025		$235,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GRANTS MANAGEMENT COMPLIANCE	2/10/2025		$3,163,457
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FIVE (5) INTERNS	2/10/2025		$305,770
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EQUAL EMPLOYMENT OPPORTUNIT...	2/10/2025		$18,780,593
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADVANCING CONTEXTUAL ANALYS...	2/10/2025		$2,031,813
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PDUFA VII CLOUD ASSESSMENT	2/10/2025		$595,692
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DHC/DPS/DMPA AND CENTER OPE...	2/10/2025		$11,667,481
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADVANCE LEADERSHIP & CULTUR...	2/10/2025		$77,600
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PROCUREMENT OF BRAND NAME H...	2/10/2025		$61,062
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ZEROFOX SOCIAL MEDIA BRAND ...	2/13/2025		$965,862
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EQUITY ASSESSMENT OF EXISTI...	2/13/2025		$2,237,500
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DEIA TRAINING TASK ORDER	1/22/2025		$209,394
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OHIC EQUITY STRATEGIC PROGR...	1/29/2025		$3,598,655
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NIH CLIMATE SURVEY SUPPORT ...	2/3/2025		$2,327,736
DEPARTMENT OF HEALTH AND HUMAN SERVICES	THE PURPOSE OF THIS CONTRAC...	2/6/2025		$777,776
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PRO PLUS SUBSCRIPTION FOR ACL	2/7/2025		$127,505
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO 15 USER LICENS...	2/7/2025		$329,739
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CDC LIBRARY POLITICO SUBSC...	2/7/2025		$934,700
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO SUBSCRIPTION	2/7/2025		$229,625
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DIVERSITY, EQUITY, BELONGIN...	2/7/2025		$105,610
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADMINISTRATIVE SUPPORT SERV...	2/7/2025		$583,758
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CONSTRUCTION IDIQ	2/7/2025		$73,691
DEPARTMENT OF HEALTH AND HUMAN SERVICES	APP PROGRAMMER SERVICES	2/7/2025		$688,606
DEPARTMENT OF HEALTH AND HUMAN SERVICES	LEADERSHIP CONSULTING SERVICES	2/7/2025		$90,908
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO SUBSCRIPTION	2/7/2025		$68,125
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PRO PREMIUM SUBSCRIPTION	2/7/2025		$22,375
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO SUBSCRIPTION RENEWAL	2/7/2025		$52,639
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO PREMIUM SUBSCR...	2/7/2025		$57,012
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OC HEALTH COMMUNICATIONS AN...	2/7/2025		$2,308,691
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CLINICAL EVALUATION OF PHEN...	2/7/2025		$962,486
DEPARTMENT OF HEALTH AND HUMAN SERVICES	24-004934 NIBIB, UNDER CONT...	2/7/2025		$17,479
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GENETIC EPIDEMIOLOGY OF COP...	2/7/2025		$9,298,220
DEPARTMENT OF HEALTH AND HUMAN SERVICES	[24-009886] THE NHLBI OFFIC...	2/7/2025		$198,442
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NIMHD DEPUTY DIRECTOR EXECU...	2/7/2025		$139,699
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NIH NHLBI DIVISION OF EXTRA...	2/7/2025		$104,529
DEPARTMENT OF HEALTH AND HUMAN SERVICES	JS TECHNOLOGY, INC:1172021 ...	2/7/2025		$760,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	25-002988 NIBIB UNDER CONTR...	2/7/2025		$18,009
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CHEMICAL ANALYSIS INSTRUMENTS	2/7/2025		$10,989
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DRY ICE	2/7/2025		$104,190
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CHEMICALS	2/7/2025		$17,745
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ASTRIX SOFTWARE TECHNOLOGY,...	2/7/2025		$150,007
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADMINISTRATIVE ASSISTANT-VE...	2/7/2025		$178,617
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO SUBSCRIPTION	2/7/2025		$187,553
DEPARTMENT OF HEALTH AND HUMAN SERVICES	POLITICO PRO PLUS	2/7/2025		$244,723
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CONTRACT HSN272201700036I; ...	2/10/2025		$2,254,164
DEPARTMENT OF HEALTH AND HUMAN SERVICES	TACTEGRA LLC:1363307 [23-00...	2/10/2025		$323,445
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EA SUPPORT SERVICES	2/13/2025		$580,621
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EXECUTIVE OFFICE CONSULTATION	2/13/2025		$993,143
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OCOO IOD MANAGEMENT CONSULT...	2/13/2025		$2,778,504
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OCOO DIGITIAL&WEB MEDIA MAN...	2/13/2025		$1,854,317
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DATA VISUALIZATION CHALLENGE	2/13/2025		$166,106
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ARM MEETINGS FOR FY 24-FY29	2/13/2025		$100,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PUBLIC HEALTH INFRASTRUCTUR...	2/13/2025		$815,955
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADMINISTRATIVE SUPPORT AND ...	2/13/2025		$791,851
DEPARTMENT OF HEALTH AND HUMAN SERVICES	WORKER OUTREACH	2/13/2025		$2,813,064
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GENERAL CLERK SERVICES	2/13/2025		$63,036
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADMINISTRATIVE SUPPORT SEER...	2/13/2025		$148,742
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MONITORING OF THE TRIBAL IN...	2/13/2025		$2,652,610
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ANALYTICAL ENHANCEMENT OF T...	2/13/2025		$19,500
DEPARTMENT OF HEALTH AND HUMAN SERVICES	QUALITATIVE ANALYSIS OF HA...	2/13/2025		$65,172
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EVALUATE THE PERFORMANCE OF...	2/13/2025		$10,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FFC MODELING	2/13/2025		$7,150
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GRAPHIC SUPPORT SERVICE	2/13/2025		$103,812
DEPARTMENT OF HEALTH AND HUMAN SERVICES	STUDY OF CANCER INCIDENCE A...	2/13/2025		$249,647
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MAINTENANCE OF THE CAREER F...	2/13/2025		$257,518
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NATIONAL CENTER FOR IMMUNIZ...	2/13/2025		$1,903,669
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GEN CLERK-HR SEPC-HR ASST S...	2/13/2025		$2,564,978
DEPARTMENT OF HEALTH AND HUMAN SERVICES	C-CURE 9000 AND HID PIVCLAS...	2/13/2025		$57,931
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HRO GENERAL SERVICES	2/13/2025		$609,872
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NATIONAL IMMUNIZATION SURVE...	2/13/2025		$11,153,341
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NATIONAL IMMUNIZATION SURVE...	2/13/2025		$2,654,876
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HRO GENERAL SERVICES	2/13/2025		$160,157
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SUBSCRIPTION -AUTOMATE ORGA...	2/13/2025		$2,557,171
DEPARTMENT OF HEALTH AND HUMAN SERVICES	RESPIRATORY PROTECTIVE DEVI...	2/13/2025		$11,766
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SUPPORT SERVICES	2/13/2025		$2,468,739
DEPARTMENT OF HEALTH AND HUMAN SERVICES	RESPIRATORY PROTECTIVE DEVI...	2/13/2025		$22,250
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DEVELOP AN AGGRESSIVE STRAT...	2/13/2025		$1,914,290
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OPPE STRATEGIC PROGRAM SERV...	2/13/2025		$1,316,941
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PROGRAM MANAGEMENT OFFICE S...	2/13/2025		$1,020,224
DEPARTMENT OF HEALTH AND HUMAN SERVICES	EVALUATION SUPPORT FOR OHE	2/13/2025		$116,667
DEPARTMENT OF HEALTH AND HUMAN SERVICES	WRITER-EDITOR	2/13/2025		$140,536
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PROFESSIONAL SUPPORT SERVIC...	2/13/2025		$13,776,107
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HIV NHM&E SERVICE CENTER	2/13/2025		$4,185,177
DEPARTMENT OF HEALTH AND HUMAN SERVICES	TO CONDUCT EXIT INTERVIEWS ...	2/13/2025		$56,370
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FINANCIAL SUPPORT	2/13/2025		$1,508,716
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GID SCIENTIFIC WRITER-EDITO...	2/13/2025		$599,359
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GLOBAL NONCOMMUNICABLE DISE...	2/13/2025		$2,790,778
DEPARTMENT OF HEALTH AND HUMAN SERVICES	INSTRUCTIONAL DESIGNER	2/13/2025		$1,015,481
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SCIENTIFIC CONSULTING / RES...	2/13/2025		$144,526
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SCIENTIFIC CONSULTING - PSY...	2/13/2025		$37,800
DEPARTMENT OF HEALTH AND HUMAN SERVICES	BEHAVIORAL RESEARCH ASSSITANT	2/13/2025		$193,108
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SYNERGY - GIS ANALYST	2/13/2025		$219,150
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SOFTWARE ANNUAL LICENSE 1 U...	2/13/2025		$96,898
DEPARTMENT OF HEALTH AND HUMAN SERVICES	METACORE/METADRUG LICENSES	2/13/2025		$146,857
DEPARTMENT OF HEALTH AND HUMAN SERVICES	AGGREGATED MOBILITY DATA	2/13/2025		$378,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MICROSERVICE ARCHITECTURE I...	2/13/2025		$1,144,640
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADVANCING THE FUTURE OF WOR...	2/13/2025		$0
DEPARTMENT OF HEALTH AND HUMAN SERVICES	REGULATORY AND CHEMISTRY, M...	2/13/2025		$91,550
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CONSULTATION & PROFESSIONAL...	2/13/2025		$17,935,133
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DITA SUPPORT SERVICES	2/13/2025		$3,999,772
DEPARTMENT OF HEALTH AND HUMAN SERVICES	UNDERSTANDING PROVIDER CONV...	2/13/2025		$520,665
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NCIRD REORGANIZATION SUPPORT	2/13/2025		$13,591,163
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NCIRD TRANSFORMATION MANAGE...	2/13/2025		$6,264,182
DEPARTMENT OF HEALTH AND HUMAN SERVICES	PDIB ORGANIZATIONAL EFFECTI...	2/13/2025		$676,988
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FILE PLAN DEVELOPMENT FOR R...	2/13/2025		$60,816
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DEVELOPMENT OF A LEAD-FREE ...	2/13/2025		$500,743
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DISASTER RELATED RAPIDS NEE...	2/13/2025		$198,253
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FEDERAL SUPPLY SCHEDULE CON...	2/13/2025		$34,540,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CONTRACT FOR INTERNAL/BUSIN...	2/13/2025		$3,456,017
DEPARTMENT OF HEALTH AND HUMAN SERVICES	NCIPC PROGRAM SUPPORT	2/13/2025		$1,083,783
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SHAREPOINT/APPLICATION DEVE...	2/13/2025		$436,723
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HALTHIEST NIOSH WELL-BEING ...	2/13/2025		$48,600
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CUSTOMER DISCOVERY INTERVIE...	2/13/2025		$100,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	COVID-19 CASE REPORTING	2/13/2025		$352,369
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ADMINISTRATIVE SUPPORT SERV...	2/13/2025		$1,589,602
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OMS WORKFORCE RELATIONS & C...	2/13/2025		$1,193,504
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OCOO SBI COMMUNICATIONS SUP...	2/13/2025		$926,717
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OA BUDGETARY SUPPORT	2/13/2025		$2,703,183
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FINANCIAL MANAGEMENT AND BU...	2/13/2025		$997,972
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FINANCIAL SUPPORT SERVICES	2/13/2025		$1,737,971
DEPARTMENT OF HEALTH AND HUMAN SERVICES	FINANCIAL MANAGEMENT AND PL...	2/13/2025		$1,698,545
DEPARTMENT OF HEALTH AND HUMAN SERVICES	GMS SUPPORT SERVICES	2/13/2025		$9,114,592
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OGS MPA SUPPORT SERVICES	2/13/2025		$5,249,243
DEPARTMENT OF HEALTH AND HUMAN SERVICES	SOIL VAPOR INTRUSION TOOLBOX	2/13/2025		$240,000
DEPARTMENT OF HEALTH AND HUMAN SERVICES	MEDICAL MANAGEMENT GUIDES U...	2/13/2025		$249,152
DEPARTMENT OF HEALTH AND HUMAN SERVICES	ENVIRONMENTAL HEALTH AND LA...	2/13/2025		$46,761
DEPARTMENT OF HEALTH AND HUMAN SERVICES	HEALTH EFFECTS CHART WEBINARS	2/13/2025		$111,720
DEPARTMENT OF HEALTH AND HUMAN SERVICES	COMMERCIAL LAUNDROMAT SHOWE...	2/13/2025		$244,191
DEPARTMENT OF HEALTH AND HUMAN SERVICES	TOX DASHBOARD MAINTENANCE A...	2/13/2025		$106,999
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DIVERSITY, EQUITY, INCLUSIO...	2/13/2025		$6,529,605
DEPARTMENT OF HEALTH AND HUMAN SERVICES	DATA ANALYSIS AND REPORTING...	2/13/2025		$2,031,994
DEPARTMENT OF HEALTH AND HUMAN SERVICES	WRITER AND EDITOR SERVICES	2/13/2025		$224,451
DEPARTMENT OF HEALTH AND HUMAN SERVICES	TECH AND ADMIN SUPPORT	2/13/2025		$3,848,892
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OHSO BUDGET SUPPORT SERVICES	2/13/2025		$874,474
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OCC SAFETY MANAGER	2/13/2025		$978,140
DEPARTMENT OF HEALTH AND HUMAN SERVICES	OHSO ISO CERTIFICATION - PJR	2/13/2025		$22,568
DEPARTMENT OF HEALTH AND HUMAN SERVICES	IGF::OT::IGF FOR OTHER FUNC...	2/13/2025		$0
DEPARTMENT OF HEALTH AND HUMAN SERVICES	CCP-21AS AND CCP-UAS - CUST...	2/13/2025		$112,260
DEPARTMENT OF HOMELAND SECURITY	NEW GSA FSS ORDER WITH DHS/...	1/28/2025		$2,761,383
DEPARTMENT OF HOMELAND SECURITY	CP3 STRATEGIC COMMUNICATION...	1/28/2025		$15,882,719
DEPARTMENT OF HOMELAND SECURITY	PROGRAM AND TECHNICAL SUPPO...	1/28/2025		$8,000,000
DEPARTMENT OF HOMELAND SECURITY	EQUAL EMPLOYMENT OPPORTUNIT...	1/30/2025		$2,960,000
DEPARTMENT OF HOMELAND SECURITY	PROGRAM AND TECHNICAL SUPPO...	1/30/2025		$1,674,009
DEPARTMENT OF HOMELAND SECURITY	INTELLIGENCE AND CYBERSECUR...	1/30/2025		$11,050,476
DEPARTMENT OF HOMELAND SECURITY	DIVERSITY, EQUITY, INCLUSIO...	1/30/2025		$36,126
DEPARTMENT OF HOMELAND SECURITY	THIS IS A BPA CALL AGAINST ...	2/3/2025		$455,078
DEPARTMENT OF HOMELAND SECURITY	OCFO, PA&E EVALUATION SERVI...	2/3/2025		$30,000,000
DEPARTMENT OF HOMELAND SECURITY	OCFO, PA&E EVALUATION SERVI...	2/3/2025		$30,000,000
DEPARTMENT OF HOMELAND SECURITY	OCFO, PA&E EVALUATION SERVI...	2/3/2025		$30,000,000
DEPARTMENT OF HOMELAND SECURITY	PROGRAM ANALYSIS & EVALUATI...	2/3/2025		$2,354,043
DEPARTMENT OF HOMELAND SECURITY	OCFO, PA&E EVALUATION SERVI...	2/3/2025		$30,000,000
DEPARTMENT OF HOMELAND SECURITY	CLIMATE SURVEY SUPPORT SERV...	2/3/2025		$765,965
DEPARTMENT OF HOMELAND SECURITY	EXPLANATION OF REQUEST/REQU...	2/3/2025		$1,428,854
DEPARTMENT OF HOMELAND SECURITY	SUSTAINABILITY AND ENVIRONM...	2/6/2025		$0
DEPARTMENT OF HOMELAND SECURITY	ANNUAL POLITICO PRO SUBSCRI...	2/6/2025		$7,470
DEPARTMENT OF HOMELAND SECURITY	THIS IS FOR THE PURCHASE OF...	2/6/2025		$227,667
DEPARTMENT OF HOMELAND SECURITY	POLITICOPRO SUBSCRIPTION SE...	2/6/2025		$298,575
DEPARTMENT OF HOMELAND SECURITY	POLITICO ONLINE SUBSCRIPTIONS	2/7/2025		$39,000
DEPARTMENT OF HOMELAND SECURITY	THE SERVICE OBJECTIVE OF TH...	2/7/2025		$3,947,502
DEPARTMENT OF HOMELAND SECURITY	OFFICE OF EQUAL RIGHTS ORGA...	2/7/2025		$3,269,725
DEPARTMENT OF HOMELAND SECURITY	THE SERVICE OBJECTIVE OF TH...	2/7/2025		$993,523
DEPARTMENT OF HOMELAND SECURITY	DHS, FEMA FLOOD MITIGATION ...	2/11/2025		$779,734
DEPARTMENT OF HOMELAND SECURITY	DHS, CRCL CASE MANAGEMENT P...	2/11/2025		$761,657
DEPARTMENT OF HOMELAND SECURITY	DIVERSITY, EQUITY, INCLUSIO...	2/12/2025		$7,496,834
DEPARTMENT OF HOMELAND SECURITY	RESILIENCE, ENERGY, AND SUS...	2/12/2025		$405,986
DEPARTMENT OF HOMELAND SECURITY	RAIO VOICE FOR DIVERSITY, E...	2/12/2025		$192,500
DEPARTMENT OF HOMELAND SECURITY	NATIONAL CRITICAL FUNCTION ...	2/12/2025		$2,584,102
DEPARTMENT OF HOMELAND SECURITY	DIVERSITY, EQUITY, INCLUSIO...	2/4/2025		$263,743
DEPARTMENT OF HOMELAND SECURITY	PROGRAM AND TECHNICAL SUPPO...	2/5/2025		$1,627,377
DEPARTMENT OF HOMELAND SECURITY	VIRTUAL AND IN PERSON, DIVE...	2/6/2025		$103,575
